evaluate_agent (LunarLanderContinuous-v2)
eval_episode=0, episodic_return=[-109.1341], episodic_length=[112]
eval_episode=1, episodic_return=[-305.84604], episodic_length=[122]
eval_episode=2, episodic_return=[-62.94391], episodic_length=[135]
eval_episode=3, episodic_return=[-45.67802], episodic_length=[84]
eval_episode=4, episodic_return=[-106.536545], episodic_length=[75]
eval_episode=5, episodic_return=[-521.4454], episodic_length=[110]
eval_episode=6, episodic_return=[-334.06653], episodic_length=[87]
eval_episode=7, episodic_return=[-420.0483], episodic_length=[125]
eval_episode=8, episodic_return=[-16.102493], episodic_length=[108]
eval_episode=9, episodic_return=[-461.6387], episodic_length=[81]
global_step=492, episodic_return=[-494.37988]
global_step=544, episodic_return=[-409.32242]
global_step=572, episodic_return=[-450.20084]
global_step=600, episodic_return=[-18.731674]
global_step=960, episodic_return=[-102.93494]
global_step=988, episodic_return=[-241.63165]
global_step=1048, episodic_return=[-44.02695]
global_step=1288, episodic_return=[-59.021137]
global_step=1324, episodic_return=[-60.510876]
global_step=1340, episodic_return=[-369.71582]
global_step=1372, episodic_return=[-554.5345]
global_step=1744, episodic_return=[-339.77863]
global_step=1772, episodic_return=[-365.91974]
global_step=1828, episodic_return=[-243.42859]
global_step=1856, episodic_return=[-433.9518]
global_step=2136, episodic_return=[-77.0923]
global_step=2188, episodic_return=[-340.7061]
global_step=2216, episodic_return=[-106.00613]
global_step=2292, episodic_return=[-228.50073]
global_step=2524, episodic_return=[-23.53144]
global_step=2664, episodic_return=[-269.48413]
global_step=2768, episodic_return=[-304.353]
global_step=2800, episodic_return=[-280.4668]
global_step=2924, episodic_return=[-145.4451]
global_step=3008, episodic_return=[-67.03604]
global_step=3168, episodic_return=[-294.7057]
global_step=3256, episodic_return=[-203.16785]
global_step=3424, episodic_return=[-381.0778]
global_step=3608, episodic_return=[-392.08044]
global_step=3688, episodic_return=[-210.02759]
global_step=3884, episodic_return=[-441.15128]
global_step=4004, episodic_return=[-95.31173]
global_step=4028, episodic_return=[-104.62501]
global_step=4392, episodic_return=[-248.74644]
global_step=4444, episodic_return=[-516.2711]
global_step=4488, episodic_return=[-206.08434]
global_step=4772, episodic_return=[-368.89215]
global_step=4816, episodic_return=[-337.41113]
global_step=4872, episodic_return=[-32.172836]
global_step=5124, episodic_return=[-56.701527]
global_step=5168, episodic_return=[-230.33421]
global_step=5364, episodic_return=[-187.10574]
global_step=5444, episodic_return=[18.782814]
global_step=5508, episodic_return=[-141.26898]
global_step=5728, episodic_return=[-333.98206]
global_step=5884, episodic_return=[-136.91873]
global_step=5888, episodic_return=[-313.42822]
global_step=6204, episodic_return=[-472.9579]
global_step=6320, episodic_return=[-139.95998]
global_step=6364, episodic_return=[-314.13647]
global_step=6576, episodic_return=[-61.02292]
global_step=6772, episodic_return=[-154.85425]
global_step=6900, episodic_return=[-19.81604]
global_step=6908, episodic_return=[-249.53906]
global_step=7116, episodic_return=[-336.45038]
global_step=7228, episodic_return=[-299.79572]
global_step=7608, episodic_return=[-22.486456]
global_step=7764, episodic_return=[-290.84247]
global_step=7808, episodic_return=[-454.36066]
global_step=7852, episodic_return=[-452.4966]
global_step=8132, episodic_return=[-303.43018]
global_step=8176, episodic_return=[-145.04884]
SPS: 829
global_step=8292, episodic_return=[-212.97388]
global_step=8396, episodic_return=[-235.00867]
global_step=8460, episodic_return=[-362.14728]
global_step=8516, episodic_return=[-103.661285]
global_step=8604, episodic_return=[-441.11716]
global_step=8940, episodic_return=[-87.84449]
global_step=8980, episodic_return=[-293.1325]
global_step=8996, episodic_return=[-248.72658]
global_step=9104, episodic_return=[-184.18195]
global_step=9324, episodic_return=[-180.72427]
global_step=9364, episodic_return=[-190.54535]
global_step=9448, episodic_return=[-538.3518]
global_step=9516, episodic_return=[-345.88113]
global_step=9728, episodic_return=[-328.10187]
global_step=9836, episodic_return=[-556.50085]
global_step=9896, episodic_return=[-100.7778]
global_step=10116, episodic_return=[-52.12868]
global_step=10148, episodic_return=[-113.46114]
global_step=10200, episodic_return=[-70.025894]
global_step=10260, episodic_return=[-321.79657]
global_step=10452, episodic_return=[-64.05571]
global_step=10460, episodic_return=[-323.85355]
global_step=10652, episodic_return=[-61.81622]
global_step=10656, episodic_return=[-138.02875]
global_step=10776, episodic_return=[-379.63467]
global_step=10788, episodic_return=[-97.02039]
global_step=11112, episodic_return=[-174.4825]
global_step=11132, episodic_return=[-326.54633]
global_step=11140, episodic_return=[-195.8321]
global_step=11448, episodic_return=[-196.99557]
global_step=11588, episodic_return=[-342.59494]
global_step=11624, episodic_return=[-248.62492]
global_step=11684, episodic_return=[-101.54669]
global_step=12084, episodic_return=[-178.40509]
global_step=12116, episodic_return=[-117.78871]
global_step=12156, episodic_return=[-25.846237]
global_step=12160, episodic_return=[-213.53279]
global_step=12668, episodic_return=[-54.383476]
global_step=12716, episodic_return=[-202.85016]
global_step=12740, episodic_return=[-107.98384]
global_step=12760, episodic_return=[-53.379807]
global_step=13064, episodic_return=[-49.769268]
global_step=13164, episodic_return=[-217.36505]
global_step=13360, episodic_return=[-430.9021]
global_step=13364, episodic_return=[-106.82845]
global_step=13520, episodic_return=[-36.436825]
global_step=13536, episodic_return=[-620.098]
global_step=13796, episodic_return=[-143.9855]
global_step=13812, episodic_return=[-241.09799]
global_step=14076, episodic_return=[-195.70056]
global_step=14172, episodic_return=[-204.03177]
global_step=14224, episodic_return=[-219.62225]
global_step=14332, episodic_return=[-186.81442]
global_step=14356, episodic_return=[-258.69138]
global_step=14576, episodic_return=[-294.47382]
global_step=14708, episodic_return=[-172.88602]
global_step=14720, episodic_return=[-292.88403]
global_step=14776, episodic_return=[-537.8148]
global_step=14968, episodic_return=[-60.490135]
global_step=15192, episodic_return=[-57.672222]
global_step=15196, episodic_return=[-207.66403]
global_step=15248, episodic_return=[-168.59692]
global_step=15500, episodic_return=[-75.66549]
global_step=15700, episodic_return=[-208.02493]
global_step=15784, episodic_return=[-87.85272]
global_step=15788, episodic_return=[-82.9893]
global_step=16004, episodic_return=[-159.21738]
global_step=16052, episodic_return=[-282.13043]
global_step=16220, episodic_return=[-277.75998]
global_step=16256, episodic_return=[-285.00092]
SPS: 899
global_step=16404, episodic_return=[-119.87289]
global_step=16524, episodic_return=[-360.92368]
global_step=16592, episodic_return=[-258.2198]
global_step=16804, episodic_return=[-60.042034]
global_step=16956, episodic_return=[-164.314]
global_step=16956, episodic_return=[-267.19556]
global_step=17120, episodic_return=[-81.91185]
global_step=17248, episodic_return=[-54.66816]
global_step=17288, episodic_return=[-74.149765]
global_step=17428, episodic_return=[-278.33344]
global_step=17592, episodic_return=[-43.721405]
global_step=17716, episodic_return=[-136.84972]
global_step=17776, episodic_return=[-184.05803]
global_step=17888, episodic_return=[-49.246468]
global_step=18044, episodic_return=[-129.07948]
global_step=18156, episodic_return=[-73.68045]
global_step=18256, episodic_return=[-147.4567]
global_step=18408, episodic_return=[-3.6474838]
global_step=18432, episodic_return=[-54.16986]
global_step=18728, episodic_return=[-402.5664]
global_step=18740, episodic_return=[-89.23218]
global_step=18756, episodic_return=[-76.287415]
global_step=18916, episodic_return=[-163.03659]
global_step=19164, episodic_return=[-46.061028]
global_step=19200, episodic_return=[-135.68188]
global_step=19520, episodic_return=[-61.45837]
global_step=19648, episodic_return=[-91.95926]
global_step=19684, episodic_return=[-184.89807]
